Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-00022,2018-03-16,2018-03-18,Same Day,CUST-1652,Customer 4631,Consumer,United States,Birmingham,Alabama,94196,South,PROD-00022,Technology,Phones,Phones Model 410,494.07,2,0.2,153.55
ORD-00023,2018-03-12,2018-03-14,Standard Class,CUST-3224,Customer 210,Consumer,United States,Raleigh,North Carolina,56099,South,PROD-00023,Office Supplies,Binders,Binders Model 929,47.91,5,0.2,12.99
ORD-00024,2018-06-03,2018-06-10,Same Day,CUST-2951,Customer 2094,Consumer,United States,Spokane,Washington,67346,West,PROD-00024,Office Supplies,Appliances,Appliances Model 728,140.6,2,0.2,39.5
ORD-00025,2018-07-13,2018-07-15,Standard Class,CUST-3668,Customer 3539,Corporate,United States,Charlotte,North Carolina,85481,South,PROD-00025,Office Supplies,Binders,Binders Model 952,25.24,2,0.0,3.35
ORD-00026,2018-06-01,2018-06-07,Second Class,CUST-1211,Customer 1564,Consumer,United States,Tacoma,Washington,60062,West,PROD-00026,Furniture,Furnishings,Furnishings Model 348,129.36,2,0.0,38.24
ORD-00027,2018-05-13,2018-05-16,Standard Class,CUST-3495,Customer 26,Consumer,United States,Salem,Oregon,10306,West,PROD-00027,Furniture,Tables,Tables Model 601,1134.13,5,0.1,318.65
ORD-00028,2018-05-02,2018-05-04,Second Class,CUST-1586,Customer 175,Consumer,United States,Allentown,Pennsylvania,98495,East,PROD-00028,Furniture,Chairs,Chairs Model 506,326.15,3,0.0,28.25
ORD-00029,2018-04-23,2018-04-29,First Class,CUST-1167,Customer 1335,Home Office,United States,Grand Rapids,Michigan,79767,Central,PROD-00029,Furniture,Tables,Tables Model 258,968.98,4,0.0,169.77
ORD-00030,2018-08-09,2018-08-12,Standard Class,CUST-3508,Customer 322,Consumer,United States,Raleigh,North Carolina,22207,South,PROD-00030,Office Supplies,Binders,Binders Model 315,52.6,4,0.0,8.46
ORD-00031,2018-06-12,2018-06-15,Standard Class,CUST-3964,Customer 4151,Consumer,United States,Cleveland,Ohio,49426,Central,PROD-00031,Technology,Phones,Phones Model 939,683.98,2,0.0,99.49
ORD-00032,2018-04-27,2018-04-30,Standard Class,CUST-2257,Customer 4048,Home Office,United States,Portland,Oregon,16336,West,PROD-00032,Technology,Machines,Machines Model 382,1158.31,2,0.1,121.82
ORD-00033,2018-04-11,2018-04-15,Second Class,CUST-2206,Customer 3228,Corporate,United States,Naperville,Illinois,85166,Central,PROD-00033,Office Supplies,Paper,Paper Model 698,33.86,4,0.0,9.86
ORD-00034,2018-07-03,2018-07-05,Standard Class,CUST-2739,Customer 1873,Consumer,United States,Philadelphia,Pennsylvania,27256,East,PROD-00034,Furniture,Chairs,Chairs Model 736,249.24,2,0.0,22.91
ORD-00035,2018-08-07,2018-08-10,Standard Class,CUST-2053,Customer 2068,Corporate,United States,Miami,Florida,59817,South,PROD-00035,Office Supplies,Storage,Storage Model 101,119.28,4,0.1,9.04
ORD-00036,2018-07-29,2018-08-05,Same Day,CUST-1714,Customer 333,Consumer,United States,Tacoma,Washington,43719,West,PROD-00036,Office Supplies,Paper,Paper Model 676,31.21,5,0.1,8.71
ORD-00037,2018-04-03,2018-04-05,First Class,CUST-3889,Customer 2992,Consumer,United States,San Diego,California,52017,West,PROD-00037,Furniture,Tables,Tables Model 204,641.81,3,0.0,45.43
ORD-00038,2018-05-01,2018-05-05,Second Class,CUST-3916,Customer 911,Consumer,United States,Springfield,Illinois,55704,Central,PROD-00038,Office Supplies,Paper,Paper Model 591,19.44,3,0.1,1.79
ORD-00039,2018-04-22,2018-04-24,Same Day,CUST-1688,Customer 4497,Consumer,United States,Columbus,Ohio,40013,Central,PROD-00039,Office Supplies,Appliances,Appliances Model 635,311.19,4,0.0,19.78
ORD-00040,2018-05-09,2018-05-14,Second Class,CUST-1330,Customer 950,Corporate,United States,Newark,New Jersey,89991,East,PROD-00040,Office Supplies,Storage,Storage Model 306,112.02,4,0.2,11.14
ORD-00041,2018-07-19,2018-07-20,Same Day,CUST-2747,Customer 2076,Consumer,United States,Columbus,Ohio,80258,Central,PROD-00041,Office Supplies,Paper,Paper Model 214,12.92,2,0.1,3.25
ORD-00042,2018-09-05,2018-09-12,First Class,CUST-2208,Customer 2515,Consumer,United States,Buffalo,New York,88348,East,PROD-00042,Technology,Phones,Phones Model 581,269.64,1,0.2,21.52
ORD-00043,2018-06-14,2018-06-17,Same Day,CUST-3143,Customer 3332,Corporate,United States,Detroit,Michigan,46776,Central,PROD-00043,Technology,Phones,Phones Model 358,563.07,2,0.0,111.29
ORD-00044,2018-04-13,2018-04-15,Second Class,CUST-1785,Customer 3030,Corporate,United States,Augusta,Georgia,20060,South,PROD-00044,Office Supplies,Appliances,Appliances Model 101,200.38,3,0.2,25.75
ORD-00045,2018-05-18,2018-05-19,Standard Class,CUST-3697,Customer 101,Consumer,United States,Mobile,Alabama,88592,South,PROD-00045,Technology,Phones,Phones Model 775,673.26,2,0.0,224.92
ORD-00046,2018-09-25,2018-09-27,Standard Class,CUST-3401,Customer 4647,Corporate,United States,Chicago,Illinois,16655,Central,PROD-00046,Technology,Accessories,Accessories Model 897,68.03,3,0.0,10.75
ORD-00047,2018-05-26,2018-05-29,First Class,CUST-3978,Customer 2401,Consumer,United States,Los Angeles,California,98110,West,PROD-00047,Office Supplies,Binders,Binders Model 676,21.07,2,0.0,1.66
ORD-00048,2018-05-02,2018-05-04,Second Class,CUST-1941,Customer 3372,Corporate,United States,Norfolk,Virginia,59923,East,PROD-00048,Office Supplies,Paper,Paper Model 456,21.17,3,0.0,4.3
ORD-00049,2018-05-07,2018-05-13,Second Class,CUST-2289,Customer 2344,Corporate,United States,Houston,Texas,88563,Central,PROD-00049,Office Supplies,Binders,Binders Model 533,10.55,1,0.0,3.9
ORD-00050,2018-06-14,2018-06-17,Second Class,CUST-2680,Customer 353,Home Office,United States,Springfield,Massachusetts,14030,East,PROD-00050,Technology,Copiers,Copiers Model 911,2662.15,3,0.0,280.67
ORD-00051,2018-04-04,2018-04-06,First Class,CUST-3694,Customer 2956,Consumer,United States,Tucson,Arizona,99779,West,PROD-00051,Technology,Machines,Machines Model 435,1246.34,2,0.0,75.54
ORD-00052,2018-04-20,2018-04-24,Standard Class,CUST-1626,Customer 1019,Consumer,United States,Mesa,Arizona,43289,West,PROD-00052,Furniture,Furnishings,Furnishings Model 613,60.19,1,0.0,10.0
ORD-00053,2018-07-28,2018-08-02,Same Day,CUST-1139,Customer 1180,Consumer,United States,Buffalo,New York,29739,East,PROD-00053,Office Supplies,Storage,Storage Model 970,66.62,2,0.1,27.37
ORD-00054,2018-06-12,2018-06-14,First Class,CUST-3764,Customer 3537,Consumer,United States,Columbus,Ohio,71687,Central,PROD-00054,Office Supplies,Storage,Storage Model 222,74.72,3,0.2,8.81
ORD-00055,2018-05-27,2018-05-29,Same Day,CUST-1762,Customer 3651,Consumer,United States,Boston,Massachusetts,46491,East,PROD-00055,Office Supplies,Appliances,Appliances Model 858,202.15,2,0.0,47.0
ORD-00056,2018-08-01,2018-08-02,Standard Class,CUST-2834,Customer 2503,Home Office,United States,Saint Paul,Minnesota,82115,Central,PROD-00056,Furniture,Bookcases,Bookcases Model 270,141.51,1,0.1,11.02
ORD-00057,2018-04-10,2018-04-15,First Class,CUST-3303,Customer 3820,Consumer,United States,Portland,Oregon,93778,West,PROD-00057,Technology,Accessories,Accessories Model 199,90.24,5,0.2,22.06
ORD-00058,2018-04-30,2018-05-04,Standard Class,CUST-2556,Customer 980,Consumer,United States,Buffalo,New York,14781,East,PROD-00058,Office Supplies,Binders,Binders Model 242,40.06,3,0.0,1.77
ORD-00059,2018-06-10,2018-06-13,Same Day,CUST-1676,Customer 4835,Corporate,United States,Seattle,Washington,30448,West,PROD-00059,Technology,Machines,Machines Model 853,2550.73,5,0.1,596.34
ORD-00060,2018-06-07,2018-06-13,Second Class,CUST-1092,Customer 977,Consumer,United States,Springfield,Massachusetts,61550,East,PROD-00060,Technology,Copiers,Copiers Model 725,1430.13,2,0.2,182.84
ORD-00061,2018-03-08,2018-03-14,Second Class,CUST-2093,Customer 1372,Corporate,United States,New York City,New York,59294,East,PROD-00061,Technology,Accessories,Accessories Model 354,51.44,2,0.0,3.3
ORD-00062,2018-04-25,2018-04-29,Same Day,CUST-1037,Customer 2281,Consumer,United States,Springfield,Illinois,31446,Central,PROD-00062,Office Supplies,Appliances,Appliances Model 986,325.15,4,0.0,78.78
ORD-00063,2018-05-10,2018-05-16,Second Class,CUST-2788,Customer 4577,Consumer,United States,Paterson,New Jersey,86579,East,PROD-00063,Office Supplies,Storage,Storage Model 335,51.39,2,0.3,16.71
ORD-00064,2018-06-17,2018-06-19,Same Day,CUST-3188,Customer 108,Consumer,United States,Orlando,Florida,95389,South,PROD-00064,Furniture,Furnishings,Furnishings Model 388,130.92,3,0.3,16.55
ORD-00065,2018-06-07,2018-06-08,First Class,CUST-3915,Customer 973,Consumer,United States,Newark,New Jersey,95615,East,PROD-00065,Office Supplies,Storage,Storage Model 796,65.79,2,0.0,9.75
ORD-00066,2018-05-16,2018-05-18,First Class,CUST-3728,Customer 1627,Home Office,United States,Cambridge,Massachusetts,27101,East,PROD-00066,Furniture,Furnishings,Furnishings Model 679,111.38,2,0.0,18.3
ORD-00067,2018-02-18,2018-02-19,First Class,CUST-2202,Customer 704,Consumer,United States,Houston,Texas,76178,Central,PROD-00067,Office Supplies,Paper,Paper Model 492,7.8,1,0.0,3.04
ORD-00068,2018-05-19,2018-05-22,Second Class,CUST-2837,Customer 875,Consumer,United States,Tacoma,Washington,38016,West,PROD-00068,Furniture,Tables,Tables Model 146,213.89,1,0.0,57.73
ORD-00069,2018-05-24,2018-05-31,Standard Class,CUST-2895,Customer 3810,Consumer,United States,Rochester,New York,28932,East,PROD-00069,Furniture,Chairs,Chairs Model 911,135.44,1,0.0,40.13
ORD-00070,2019-01-03,2019-01-04,Second Class,CUST-1137,Customer 2412,Consumer,United States,Seattle,Washington,54653,West,PROD-00070,Furniture,Furnishings,Furnishings Model 385,43.4,1,0.3,7.56
ORD-00071,2018-05-08,2018-05-09,Second Class,CUST-3238,Customer 2108,Home Office,United States,Newark,New Jersey,62802,East,PROD-00071,Furniture,Chairs,Chairs Model 125,627.27,6,0.0,158.2
ORD-00072,2018-06-10,2018-06-13,Standard Class,CUST-2664,Customer 3554,Consumer,United States,Montgomery,Alabama,17549,South,PROD-00072,Technology,Machines,Machines Model 916,499.43,1,0.2,73.27
ORD-00073,2018-08-16,2018-08-23,Standard Class,CUST-3390,Customer 1274,Corporate,United States,Seattle,Washington,88933,West,PROD-00073,Technology,Copiers,Copiers Model 757,3347.94,3,0.0,814.62
ORD-00074,2018-07-14,2018-07-16,Standard Class,CUST-2583,Customer 560,Home Office,United States,Houston,Texas,35362,Central,PROD-00074,Office Supplies,Storage,Storage Model 798,125.06,4,0.0,7.91
ORD-00075,2018-09-10,2018-09-13,Standard Class,CUST-1972,Customer 117,Consumer,United States,Charlotte,North Carolina,57842,South,PROD-00075,Furniture,Chairs,Chairs Model 709,354.57,3,0.0,37.87
ORD-00076,2018-03-09,2018-03-10,Second Class,CUST-1662,Customer 4970,Home Office,United States,Reno,Nevada,56539,West,PROD-00076,Furniture,Furnishings,Furnishings Model 872,37.75,1,0.3,13.21
ORD-00077,2018-03-27,2018-03-28,Same Day,CUST-3291,Customer 3047,Consumer,United States,Birmingham,Alabama,43717,South,PROD-00077,Furniture,Chairs,Chairs Model 125,343.08,3,0.0,103.86
ORD-00078,2018-04-17,2018-04-24,First Class,CUST-2811,Customer 44,Consumer,United States,Salem,Oregon,64596,West,PROD-00078,Furniture,Tables,Tables Model 799,735.44,3,0.0,88.92
ORD-00079,2018-03-03,2018-03-10,Same Day,CUST-1415,Customer 509,Consumer,United States,Savannah,Georgia,33016,South,PROD-00079,Technology,Phones,Phones Model 890,958.88,3,0.0,230.96
ORD-00080,2018-05-25,2018-05-26,Second Class,CUST-3755,Customer 3440,Corporate,United States,Buffalo,New York,65200,East,PROD-00080,Furniture,Chairs,Chairs Model 984,463.14,4,0.0,70.3
ORD-00081,2018-03-30,2018-04-06,Standard Class,CUST-1343,Customer 3929,Home Office,United States,Springfield,Illinois,90268,Central,PROD-00081,Office Supplies,Storage,Storage Model 772,230.79,6,0.0,33.74
ORD-00082,2018-09-24,2018-09-28,First Class,CUST-3730,Customer 4945,Consumer,United States,Mesa,Arizona,70287,West,PROD-00082,Furniture,Chairs,Chairs Model 893,364.45,3,0.0,78.02
ORD-00083,2018-04-06,2018-04-12,First Class,CUST-3701,Customer 917,Corporate,United States,Henderson,Nevada,93402,West,PROD-00083,Furniture,Furnishings,Furnishings Model 521,80.44,2,0.3,15.52
ORD-00084,2018-05-01,2018-05-04,Same Day,CUST-1146,Customer 2946,Consumer,United States,Detroit,Michigan,52607,Central,PROD-00084,Office Supplies,Storage,Storage Model 757,78.73,3,0.2,20.25
ORD-00085,2018-07-19,2018-07-22,Second Class,CUST-1323,Customer 799,Consumer,United States,Cincinnati,Ohio,37621,Central,PROD-00085,Office Supplies,Binders,Binders Model 285,12.31,1,0.0,1.31
ORD-00086,2018-03-16,2018-03-19,Second Class,CUST-3170,Customer 4972,Consumer,United States,Newark,New Jersey,22823,East,PROD-00086,Furniture,Tables,Tables Model 198,1124.45,4,0.0,382.45
ORD-00087,2018-03-01,2018-03-05,Second Class,CUST-2276,Customer 1761,Home Office,United States,Virginia Beach,Virginia,39986,East,PROD-00087,Furniture,Chairs,Chairs Model 700,99.95,1,0.2,16.07
ORD-00088,2018-06-02,2018-06-03,First Class,CUST-2879,Customer 2334,Corporate,United States,Grand Rapids,Michigan,74325,Central,PROD-00088,Office Supplies,Binders,Binders Model 178,24.89,2,0.0,6.26
ORD-00089,2018-06-07,2018-06-08,Same Day,CUST-3359,Customer 3276,Consumer,United States,Springfield,Illinois,67771,Central,PROD-00089,Furniture,Chairs,Chairs Model 902,380.35,4,0.2,147.27
ORD-00090,2018-07-17,2018-07-19,First Class,CUST-1601,Customer 819,Consumer,United States,Nashville,Tennessee,64973,South,PROD-00090,Furniture,Bookcases,Bookcases Model 531,542.8,3,0.0,199.95
ORD-00091,2018-06-26,2018-07-01,First Class,CUST-1475,Customer 2169,Consumer,United States,Springfield,Illinois,24690,Central,PROD-00091,Technology,Machines,Machines Model 559,1122.48,2,0.1,185.32
ORD-00092,2018-06-10,2018-06-12,Standard Class,CUST-3618,Customer 3736,Consumer,United States,Augusta,Georgia,49107,South,PROD-00092,Office Supplies,Paper,Paper Model 190,16.71,2,0.0,4.92
ORD-00093,2018-04-11,2018-04-15,Same Day,CUST-2516,Customer 3066,Consumer,United States,Chicago,Illinois,67888,Central,PROD-00093,Office Supplies,Binders,Binders Model 392,40.87,4,0.0,3.29
ORD-00094,2018-06-05,2018-06-12,Standard Class,CUST-1575,Customer 3260,Home Office,United States,Henderson,Nevada,20956,West,PROD-00094,Office Supplies,Appliances,Appliances Model 602,116.49,2,0.3,21.24
ORD-00095,2018-06-09,2018-06-10,Second Class,CUST-1347,Customer 907,Consumer,United States,Jersey City,New Jersey,96839,East,PROD-00095,Office Supplies,Appliances,Appliances Model 450,313.97,4,0.2,61.68
ORD-00096,2018-04-09,2018-04-13,First Class,CUST-3868,Customer 4109,Consumer,United States,Ann Arbor,Michigan,66227,Central,PROD-00096,Office Supplies,Storage,Storage Model 163,32.21,1,0.0,11.99
ORD-00097,2018-10-27,2018-10-30,Same Day,CUST-2511,Customer 603,Consumer,United States,Columbus,Ohio,46533,Central,PROD-00097,Office Supplies,Paper,Paper Model 331,30.07,4,0.0,12.01
ORD-00098,2018-06-23,2018-06-29,Second Class,CUST-1382,Customer 4296,Home Office,United States,Richmond,Virginia,66234,East,PROD-00098,Technology,Copiers,Copiers Model 932,3575.93,4,0.0,1074.12
ORD-00099,2018-03-27,2018-03-29,Same Day,CUST-2304,Customer 2634,Corporate,United States,Reno,Nevada,77594,West,PROD-00099,Furniture,Furnishings,Furnishings Model 248,47.87,1,0.1,16.06
ORD-00100,2018-07-17,2018-07-21,First Class,CUST-1072,Customer 1792,Consumer,United States,Miami,Florida,66901,South,PROD-00100,Office Supplies,Appliances,Appliances Model 655,196.79,2,0.0,63.3
ORD-00101,2018-08-01,2018-08-07,Same Day,CUST-3569,Customer 3528,Corporate,United States,Los Angeles,California,21519,West,PROD-00101,Office Supplies,Appliances,Appliances Model 855,71.65,1,0.2,19.28
ORD-00102,2018-06-18,2018-06-25,Second Class,CUST-3981,Customer 4544,Consumer,United States,Tucson,Arizona,41115,West,PROD-00102,Technology,Copiers,Copiers Model 314,2195.24,3,0.2,256.99
ORD-00103,2018-05-05,2018-05-09,Standard Class,CUST-2118,Customer 1812,Consumer,United States,Henderson,Nevada,76266,West,PROD-00103,Office Supplies,Paper,Paper Model 827,17.68,2,0.0,4.87
ORD-00104,2018-04-07,2018-04-10,First Class,CUST-2397,Customer 3912,Consumer,United States,Jersey City,New Jersey,11832,East,PROD-00104,Office Supplies,Binders,Binders Model 130,41.02,3,0.0,8.32
ORD-00105,2018-05-16,2018-05-20,Standard Class,CUST-3387,Customer 841,Consumer,United States,Tacoma,Washington,51368,West,PROD-00105,Furniture,Bookcases,Bookcases Model 101,180.14,1,0.0,37.8
ORD-00106,2018-06-13,2018-06-19,First Class,CUST-2360,Customer 3143,Consumer,United States,Eugene,Oregon,98425,West,PROD-00106,Office Supplies,Appliances,Appliances Model 960,75.58,1,0.2,4.15
ORD-00107,2018-05-21,2018-05-25,Second Class,CUST-1664,Customer 4686,Home Office,United States,Norfolk,Virginia,79715,East,PROD-00107,Furniture,Bookcases,Bookcases Model 732,153.23,1,0.2,32.6
ORD-00108,2018-09-14,2018-09-15,First Class,CUST-2516,Customer 2091,Corporate,United States,Saint Paul,Minnesota,81835,Central,PROD-00108,Office Supplies,Appliances,Appliances Model 918,194.32,2,0.0,19.52
ORD-00109,2018-07-04,2018-07-11,Standard Class,CUST-2892,Customer 4616,Corporate,United States,Salem,Oregon,83366,West,PROD-00109,Furniture,Chairs,Chairs Model 390,398.87,3,0.0,77.24
ORD-00110,2018-04-02,2018-04-06,First Class,CUST-1040,Customer 1037,Consumer,United States,Memphis,Tennessee,47570,South,PROD-00110,Office Supplies,Binders,Binders Model 786,48.26,4,0.0,10.36
ORD-00111,2018-03-23,2018-03-27,Second Class,CUST-2383,Customer 725,Consumer,United States,Mobile,Alabama,97977,South,PROD-00111,Furniture,Tables,Tables Model 203,597.94,3,0.1,174.33
ORD-00112,2018-06-23,2018-06-25,First Class,CUST-3031,Customer 988,Corporate,United States,Virginia Beach,Virginia,16615,East,PROD-00112,Office Supplies,Appliances,Appliances Model 597,193.69,2,0.0,42.23
ORD-00113,2018-05-07,2018-05-11,Standard Class,CUST-3622,Customer 803,Consumer,United States,Minneapolis,Minnesota,82298,Central,PROD-00113,Technology,Accessories,Accessories Model 355,116.03,5,0.0,6.9
ORD-00114,2018-07-11,2018-07-14,Second Class,CUST-2278,Customer 2583,Consumer,United States,Henderson,Nevada,48311,West,PROD-00114,Furniture,Tables,Tables Model 597,657.91,3,0.0,175.04
ORD-00115,2018-06-22,2018-06-26,Standard Class,CUST-1966,Customer 3838,Consumer,United States,Orlando,Florida,33434,South,PROD-00115,Office Supplies,Binders,Binders Model 626,46.16,5,0.1,18.13
ORD-00116,2018-05-16,2018-05-17,First Class,CUST-3629,Customer 527,Corporate,United States,Norfolk,Virginia,96879,East,PROD-00116,Office Supplies,Storage,Storage Model 379,57.97,2,0.1,7.59
ORD-00117,2018-04-02,2018-04-06,Same Day,CUST-2901,Customer 1666,Consumer,United States,Ann Arbor,Michigan,25739,Central,PROD-00117,Furniture,Bookcases,Bookcases Model 410,392.64,2,0.0,56.31
ORD-00118,2018-03-04,2018-03-11,Standard Class,CUST-3218,Customer 1139,Consumer,United States,Cleveland,Ohio,76202,Central,PROD-00118,Technology,Accessories,Accessories Model 881,24.46,1,0.0,7.02
ORD-00119,2018-06-04,2018-06-05,First Class,CUST-1701,Customer 460,Corporate,United States,San Diego,California,89599,West,PROD-00119,Furniture,Chairs,Chairs Model 285,368.78,3,0.0,39.24
ORD-00120,2018-03-15,2018-03-22,Same Day,CUST-1511,Customer 2553,Consumer,United States,Buffalo,New York,43649,East,PROD-00120,Office Supplies,Appliances,Appliances Model 688,90.96,1,0.0,27.62
ORD-00121,2018-04-01,2018-04-04,Same Day,CUST-2284,Customer 4421,Consumer,United States,Columbus,Ohio,57445,Central,PROD-00121,Office Supplies,Storage,Storage Model 172,76.41,2,0.0,5.2
ORD-00122,2018-05-31,2018-06-06,Second Class,CUST-1584,Customer 4675,Consumer,United States,Springfield,Illinois,49470,Central,PROD-00122,Office Supplies,Paper,Paper Model 731,15.2,2,0.0,3.02
ORD-00123,2018-05-24,2018-05-29,Same Day,CUST-1984,Customer 2809,Consumer,United States,Phoenix,Arizona,84965,West,PROD-00123,Office Supplies,Storage,Storage Model 952,104.57,3,0.0,7.68
ORD-00124,2018-03-20,2018-03-24,Standard Class,CUST-1459,Customer 2899,Corporate,United States,Ann Arbor,Michigan,58621,Central,PROD-00124,Office Supplies,Storage,Storage Model 980,83.34,3,0.1,8.25
ORD-00125,2018-08-11,2018-08-16,Standard Class,CUST-3577,Customer 3244,Consumer,United States,Salem,Oregon,42926,West,PROD-00125,Furniture,Furnishings,Furnishings Model 623,51.63,1,0.0,11.24
ORD-00126,2018-08-09,2018-08-15,Same Day,CUST-2906,Customer 4069,Consumer,United States,Cincinnati,Ohio,47997,Central,PROD-00126,Technology,Phones,Phones Model 387,507.36,2,0.1,68.71
ORD-00127,2018-06-26,2018-06-29,First Class,CUST-3389,Customer 2332,Home Office,United States,Pittsburgh,Pennsylvania,69940,East,PROD-00127,Office Supplies,Appliances,Appliances Model 703,249.22,3,0.0,61.1
ORD-00128,2018-06-26,2018-06-28,Standard Class,CUST-3105,Customer 4571,Home Office,United States,Charlotte,North Carolina,50724,South,PROD-00128,Technology,Phones,Phones Model 666,1573.81,5,0.0,283.2
ORD-00129,2018-06-26,2018-06-30,Standard Class,CUST-3266,Customer 3686,Home Office,United States,San Diego,California,41704,West,PROD-00129,Technology,Copiers,Copiers Model 125,3057.36,3,0.0,684.17
ORD-00130,2019-07-22,2019-07-28,Second Class,CUST-3667,Customer 632,Consumer,United States,Tucson,Arizona,38391,West,PROD-00130,Technology,Accessories,Accessories Model 642,123.24,5,0.1,14.61
ORD-00131,2018-07-31,2018-08-05,First Class,CUST-1816,Customer 4799,Consumer,United States,Allentown,Pennsylvania,73291,East,PROD-00131,Office Supplies,Appliances,Appliances Model 331,272.38,4,0.2,20.89
ORD-00132,2018-07-06,2018-07-11,Same Day,CUST-3779,Customer 2457,Home Office,United States,Buffalo,New York,99723,East,PROD-00132,Office Supplies,Binders,Binders Model 958,33.13,3,0.0,2.98
ORD-00133,2018-04-06,2018-04-09,First Class,CUST-3512,Customer 982,Corporate,United States,Henderson,Nevada,12526,West,PROD-00133,Technology,Copiers,Copiers Model 893,770.3,1,0.2,149.28
